"","Film","Rating","Actor.Group1","Actor.Group2","Actor.Group3","Actor.Group4","Director","Producer","Writer"
"3454","2319370",6.6,0,1,3,0,6.59999990463257,6.59999990463257,6.59999990463257
"3455","2319517",6.1,0,0,16,0,6.09999990463257,5.80277771419949,6.09999990463257
"3456","2319523",8.3,0,0,10,2,7.3,7.34791673554315,7.2916666507721
"3457","2319544",6.8,0,0,29,0,5.32500010728836,6.05282316894488,5.96250004569689
"3458","2319545",6.2,0,2,34,0,5.47999992370606,5.95706117601476,6.27777765856849
"3459","2319546",5.8,0,0,29,0,5.32500010728836,5.89349886709921,6.00555561648475
"3460","2319547",5.9,0,1,30,0,6,5.8878273907635,5.9041666785876
"3461","2319591",6.4,0,0,25,1,6.40000009536743,5.93000005930662,6.61333338419596
"3462","2319608",7.6,0,0,8,5,7.59999990463257,6.83072912991047,7.16666658719381
"3463","2319688",8.2,0,0,7,5,8.19999980926514,7.53665166071483,7.94999980926514
"3464","2319701",7.5,0,0,8,0,7,7.5,7
"3465","2319897",7.1,0,0,63,0,7.35999999046326,6.55883267454648,7.1833332379659
"3466","2320016",5.3,0,3,32,0,5.30000019073486,5.12852758677168,5.30000019073486
"3467","2320068",6.2,0,0,9,0,6.19999980926514,6.19999980926514,6.19999980926514
"3468","2320086",7.3,0,0,45,0,6.74615383148193,6.44465170761968,7.01999998092651
"3469","2320105",6.4,0,0,27,0,6.40000009536743,6.18780614433645,6.40000009536743
"3470","2320110",5.9,0,0,10,0,5.90000009536743,4.43333330419328,6.28139540761016
"3471","2320120",9.1,0,0,0,5,9.10000038146973,8.96666701634725,9.10000038146973
"3472","2320162",7.3,0,0,25,0,7.30000019073486,7.15000017484029,7.30000019073486
"3473","2320189",5.9,0,2,15,0,5.90000009536743,5.99333340326945,5.90000009536743
"3474","2320235",8.2,0,0,16,5,7.88749992847443,7.75333336989085,7.75120192995438
"3475","2320241",7.8,0,0,23,30,7.29999995231628,7.09483365134597,7.85000014305115
"3476","2320281",5,0,16,18,0,4.39999997615814,5.39729293076373,5
"3477","2320390",7,0,0,3,0,6.70000004768372,5.98333342870077,6.70000004768372
"3478","2320393",7.5,0,0,2,0,7.5,7.61249995231628,7.5
"3479","2320421",7.3,0,0,27,2,7.30000019073486,7.30000019073486,7.30000019073486
"3480","2320512",5,0,12,7,0,4.25,5.39799999237061,5
"3481","2320590",6.2,0,4,121,0,6.5,6.28939379345287,6.19999980926514
"3482","2320651",4.1,0,10,12,0,4.09999990463257,5.49999990065893,4.09999990463257
"3483","2320701",6.6,0,0,17,0,6.09999990463257,6.53333322207133,6.09999990463257
"3484","2320942",4.8,0,0,9,0,4.80000019073486,5.46666677792867,4.80000019073486
"3485","2320987",4.9,0,25,35,0,4.90000009536743,5.52545792148227,5.85238104774838
"3486","2321013",2.6,0,25,7,0,3.91874998807907,3.93333330998818,3.77696965824474
"3487","2321090",3.4,0,15,5,0,4.95000004768372,4.18740749712344,3.94583342472712
"3488","2321150",5.7,0,1,46,0,5.69999980926514,5.51233503504381,5.69999980926514
"3489","2321184",5.1,0,0,4,0,5.09999990463257,5.09999990463257,5.09999990463257
"3490","2321214",5.7,0,2,33,0,5.14999985694885,5.36999983787537,5.42499983310699
"3491","2321233",6.2,0,5,87,0,6.66666650772095,6.2390475046067,6.39999985694885
"3492","2321262",6.6,0,0,30,0,6.59999990463257,5.974999944369,6.59999990463257
"3493","2321281",7.4,0,0,14,1,7.54999995231628,7.40000009536743,7.66666666666667
"3494","2321354",6.5,0,0,46,0,6.69999996821086,6.61333330119098,6.69999996821086
"3495","2321400",4.6,0,2,19,0,4.29999995231628,5.51717946957319,4.59999990463257
"3496","2321727",4.8,0,117,19,0,3.55000007152557,4.64814829826355,3.55000007152557
"3497","2321841",5.9,0,0,39,0,6.77500009536743,6.44597500089986,6.42638895908991
"3498","2322060",6.4,0,0,24,0,6.40000009536743,6.21959875712372,7.40000009536743
"3499","2322180",5.5,0,0,7,0,5.5,5.5,5.5
"3500","2322333",5.5,0,0,10,0,5.5,5.5,5.5
"3501","2322687",3.9,0,11,13,0,4.46666669845581,5.42767235896129,4.4166667064031
"3502","2322812",3.4,0,4,0,0,3.40000009536743,3.40000009536743,3.40000009536743
"3503","2322891",2.8,0,10,0,0,2.79999995231628,2.79999995231628,2.79999995231628
