«»,Producer, Film, Rating, Budget, Year
49,4816,2926858,5.5,"$11,000",2008
50,4816,2926858,5.5,"$11,000",2008
51,4975,2570442,6.6,"EGP 5,000,000",2009
52,5110,2734086,4.2,"$3,100,000",2012
53,5151,2105074,7.5,"$25,000,000",2006
54,5151,2463265,8.0,"$6,970,000",2014
55,5151,2981701,7.2,"€ 5,284,200",2014
56,5152,2142206,7.1,"$14,000,000",2006
57,5152,2587168,5.9,"$6,000,000",2006
58,5152,3032232,4.8,"$6,000,000",2009
59,5162,2538039,8.0,"$6,500",2014
60,5169,2369819,7.2,"$100,000",1995
61,5301,2556943,7.9,"INR 350,000,000",2013
62,5325,2042314,7.3,"$5,000,000",1992
63,5325,2062931,6.4,"$85,000,000",1997
64,5325,2151870,5.9,"$10,000,000",2000
65,5325,2181999,7.9,"$76,000,000",2006
66,5325,2224647,7.4,"$26,000,000",2004
67,5325,2293760,5.7,"$83,000,000",1999
68,5325,2328140,6.5,"$80,000,000",2000
69,5325,2427214,6.7,"$40,000,000",2009
70,5325,2688697,5.6,"$12,000,000",1997
71,5325,2736481,6.3,"$100,000,000",2012
72,5325,2791719,6.5,"$15,500,000",2006
73,5325,2808372,7.0,"$92,000,000",2001
74,5325,2822078,5.8,"$10,000,000",1993
75,5325,2875924,6.9,"$12,500,000",2003
76,5325,2878482,6.7,"$60,000,000",2000
77,5325,2892590,7.5,"$38,000,000",1999
78,5325,2898456,5.6,"$1,800,000",2009
